OBSTACLE_IDENTIFIER;HORISONTAL_ACCURACY;HORISONTAL_ACCURACY_UOM;LATITUDE;LONGITUDE;LATITUDE_DD;LONGITUDE_DD;HORISONTAL_RESOLUTION;HORISONTAL_RESOLUTION_UOM;HORISONTAL_EXTENT;ELEVATION;ELEVATION_UOM;HEIGHT;HEIGHT_UOM;VERTICAL_ACCURACY;VERTICAL_ACCURACY_UOM;VERTICAL_EXTENT_ACC;VERTICAL_EXTENT_ACC_UOM;VERTICAL_RESOLUTION;VERTICAL_RESOLUTION_UOM;OBSTACLE_TYPE;GEOMETRY_TYPE;INTEGRITY;DATESTAMP;LIGHTING;LIGHTING_CHARACTER;MARKING;STATUS;REMARKS;AD_AIRPORT_PK 
ESSV1407;;OTHER;573859.5N;0182059.2E;57.64985;18.34976;;;;183;FT;16;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1349;;OTHER;573859.1N;0182111.0E;57.64975;18.35307;;;;200;FT;32;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1728;;OTHER;573946.1N;0181957.3E;57.66282;18.33259;;;;196;FT;54;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1116;;OTHER;574043.0N;0182202.8E;57.6786;18.36744;;;;214;FT;82;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1131;;OTHER;574007.2N;0182213.2E;57.66868;18.37034;;;;201;FT;69;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1123;;OTHER;573935.4N;0182144.0E;57.65984;18.36223;;;;200;FT;57;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1611;;OTHER;573939.1N;0182200.5E;57.66085;18.3668;;;;197;FT;53;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1601;;OTHER;573944.5N;0182219.3E;57.66236;18.37203;;;;202;FT;63;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1626;;OTHER;573939.0N;0182147.7E;57.66083;18.36325;;;;198;FT;59;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1624;;OTHER;573934.1N;0182151.5E;57.65948;18.36432;;;;225;FT;78;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1843;;OTHER;573933.2N;0182147.3E;57.65923;18.36315;;;;217;FT;71;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1103;;OTHER;574003.7N;0182124.9E;57.66769;18.35692;;;;190;FT;58;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1778;;OTHER;574020.0N;0182137.2E;57.67222;18.36033;;;;184;FT;55;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1594;;OTHER;573954.9N;0182130.5E;57.66524;18.35846;;;;193;FT;60;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1844;;OTHER;573930.6N;0182158.6E;57.6585;18.36627;;;;224;FT;64;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1250;;OTHER;573937.2N;0182011.5E;57.66032;18.33652;;;;189;FT;50;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
ESSV1773;;OTHER;574045.2N;0182155.6E;57.67922;18.36546;;;;208;FT;73;FT;;OTHER;;OTHER;;;TREE;POINT;ROUTINE;;;;;COMPLETED;;179
